,count,mean,std,min,25%,50%,75%,max
Barisal,22260.0,71.42508984725964,59.573947920053705,1.5,28.7,49.9,95.5,547.1
Bogra,22272.0,59.97435344827588,43.69558152909623,1.2,27.975,45.1,79.9,334.7
Dhaka,22097.0,61.43034348554102,42.08074442004981,5.0,29.6,47.7,83.7,303.7
Jamalpur,22192.0,59.808768925739,41.969137875656,1.9,28.2,46.0,81.5,323.8
Jessore,22919.0,67.11306776037348,47.949994749929566,3.4,32.099999999999994,50.7,91.0,379.1
Kishorganj,21913.0,61.38299411308355,45.79984859533107,1.8,27.4,45.8,83.3,397.0
Kushtia,22990.0,66.89271204871683,46.5883816323238,1.5,32.2,51.7,90.5,325.7
Lakshmipur,22187.0,59.23601658628927,43.5147220006259,1.2,27.2,44.4,78.8,361.2
Madaripur,22272.0,64.69495105962643,49.11914199623371,1.3,29.0,47.5,86.2,392.6
Mymensingh,22131.0,59.67511409335322,43.00778637065272,1.9,27.5,45.3,81.2,354.1
Nagarpur,22262.0,66.91669436708291,50.474889889606345,1.6,30.0,49.3,89.7,411.7
Narail,23057.0,66.18212256581516,47.83700397761339,1.3,31.2,49.8,89.5,333.7
Narayanganj,22257.0,68.84811969268095,56.23702567193294,1.4,28.4,48.7,92.0,506.0
Narsingdi,22151.0,66.33052683851744,53.03437883366994,1.6,27.8,47.6,88.8,473.6
Nawabganj,22673.0,66.16922992105147,43.0984751155364,4.6,33.2,53.2,90.7,336.7
Pabna,22839.0,66.56662726038795,46.62825815898708,1.5,31.8,51.3,90.0,333.9
Palang,22273.0,64.69626678040677,49.63089933072503,1.3,28.7,47.3,86.0,406.8
Par Naogaon,22084.0,62.61258150697338,42.068692037385375,4.8,30.7,49.2,85.4,317.7
Pirojpur,22100.0,60.45523981900454,43.45525102067812,4.2,28.6,45.6,81.1,303.3
Raipur,22194.0,60.39637514643597,44.90603266535393,1.3,27.5,44.9,80.4,375.4
Rajshahi,22698.0,66.16285575821658,43.8828708781595,4.4,32.8,52.5,90.3,327.9
Ramganj,22189.0,60.852751363288114,45.609459060020306,1.3,27.4,45.1,81.1,386.5
Sarishabari,22256.0,61.208519051042416,43.30772874581399,1.9,28.7,46.8,83.3,334.2
Satkhira,22902.0,65.81451401624312,47.98649326752009,2.8,31.2,49.1,89.4,448.8
Shahzadpur,22274.0,65.73562449492681,47.65216365006557,1.6,30.5,49.7,88.5,365.4
Sherpur,22190.0,58.68866831906264,41.004241248964725,2.0,27.8,45.2,79.9,317.1
Sirajganj,22258.0,63.78928924431665,45.91801706144142,1.7,29.625000000000004,48.3,86.5,356.7
Tangail,22258.0,65.89016308742923,49.34495241124271,1.6,29.7,48.7,88.6,402.5
Tungi,22258.0,71.1707228861533,59.45575290795094,1.5,28.5,49.8,95.1,550.2
Tungipara,22274.0,62.870045793301614,46.12975822484739,1.2,29.3,47.0,84.17500000000001,334.5
