Company name,Company Type,Website,E-mail Address,Phone Number,Location,Skype Id,
UpoharBD.com,Delivery(Gift shop),www.upoharbd.com,,01709-639280,"Lalmatia, Dhaka-1207",Upoharbd,
Rokomari.com,E-commerce,www.rokomari.com,admin@rokomari.com,01708166234-38,"Motijheel, Dhaka-1000",,
Daraz.com.bd,E-commerce,www.daraz.com.bd,,,,,
Ajkerdeal.com,E-commerce,https://ajkerdeal.com/,"info@ajkerdeal.com,complain@ajkerdeal.com",9638000777,"Panthapath, Dhaka-1215",,
pickaboo.com,E-commerce(Electronics),www.pickaboo.com,support@pickaboo.com,9666745745,"Niketan, Gulshan 1, Dhaka 1212",,
Bagdoom.com,E-commerce,www.bagdoom.com,info@bagdoom.com,1823077077,"Niketon, Gulshan-1, Dhaka 1212",,
othoba.com,E-commerce,www.othoba.com,info@othoba.com,09613-800800,"Middle Badda, Dhaka- 1212.",,
PriyoShop.com,E-commerce,www.priyoshop.com,admin@priyoshop.com,09636-102030,"Dhanmondi, Dhaka 1205",,
Clickbd,E-commerce(Electronics),www.clickbd.com,support @ clickbd.com,0174-220-5300,"Kakrail, Dhaka-1000",,
Chaldal.com,E-commerce(Groceries),https://chaldal.com/,support@chaldal.com,0188-1234567,,,
Master Air Express Co.Ltd,Delivery(Courier),www.masterair.net,info@masterair.net,01911-445079,"Barabag, Behind the, Dhaka 1216",,international. Local kaj kore na
Bangladesh Express Co. Ltd. - Fedex,Delivery(Courier),www.fedex.com/en-bd/home.html,,01700-799805,"Banani, Dhaka-1213",,bad rakhlam apatoto
eCourier Ltd Headquarter,Delivery(Courier),www.ecourier.com.bd/,support@ecourier.com.bd,09612-500500,"Banani, Dhaka-1213,",,due
Rapido Deliveries,Delivery(Courier),www.rapido.com.bd,,01684-569219,"Kawran Bazar Rd, Dhaka 1215",,
Bangladesh Parcel & Courier Service Ltd,Delivery(Courier),https://bangladesh-parcel-courier-service-ltd.business.site/,,01705-408111,"Shahid Syed Nazrul Islam Sharani, Dhaka",,ora market delivery r kaj kore. Korbe na
"Royale International Couriers, Bangladesh",Delivery(Courier),www.royaleinternational.com,,01670-167012,"Dohs Baridhara, Dhaka 1206",,
Sonar Courier Service Ltd.,Delivery(Courier),https://sonarcourier.com/,info@sonarcourier.com,01711-521460,"Mohakhali, Dhaka 1212",,dhaka and dhakar ase pase parbe. Dure zilla sohore customer er collect korte hobe. 250 gm a 34 tk
Backpack Delivery Point,Delivery(Courier),https://backpackbang.com/,travelers@backpackbang.com,09614-204020,"House 292 (First Floor, Rd No 19/B, Dhaka 1206",,number thik nai
Xtreme Logistics Bangladesh Limited,Transportation service,www.facebook.com/xtremelogisticsbd,,02-9356105,"Moghbazar,, Dhaka, Bangladesh 1217",,
Royal Shipping Services Limited,Shipping service,www.royal.com.bd/,,02-8712193,"Rd No 30, Dhaka 1205",,
Mars Freight Bangladesh Ltd.,Freight forwarding service,marsfreight-bd.com/,info@marsfreight-bd.com,01711-563834,Dhaka 1216,,
DML Worldwide Express Bangladesh Ltd.,Delivery(Courier),www.dml.com.bd,info@dml.com.bd,01761-740478,"Mirpur-1, Dhaka 1216",,
Sundarban Courier Service Prvt Agency,Delivery(Courier),sundarbancourierltd.com/,mail@sundarbancourier.com.bd,9612003003,"103 Rubaayat Rahman Bhavan, Dhaka 1212",,
Pathao Operations,Delivery(Courier),https://pathao.com/bn/,support@pathao.com,09678-100800,"opp. BTV, Dhaka 1219",,
DHL Shamoly Service Point,Logistic,www.logistics.dhl/bd-en/home.html,,01929-997020,"Shamoli, Dhaka 1207",,
AHL Bangladesh,Education,eduabro.com/,info@ahl2u.com,01733-498888,"12 Purana Paltan, Dhaka 1000",,
Foodpeon,Delivery(food),https://foodpeon.com/,support@foodpeon.com,01770-050700,"House: 379, Lane: 6, Dhaka 1206",,
A islam Transport agency,Transportation service,https://aislamtransportagency.business.site/,,01676-328531,Dhaka 1208,,
"Bloomest Company Limited
Directions
Save",Logistic(Swmming pool),,,01856-996996,"Bijoy Sarani, Dhaka 1215",,
