,Bagerhat,Bandarban,Barguna,Barisal,Bhola,Bogra,Brahmanbaria,Chandpur,Chittagong,Chuadanga,Comilla,Cox's bazar,Dhaka,Dinajpur,Faridpur,Feni,Gaibandha,Gazipur,Gopalganj,Habiganj,Jamalpur,Jessore,Jhalokati,Jhenaidah,Joypurhat,Khagrachhari,Khulna,Kishoregonj,Kurigram,Kushtia,Lakshmipur,Lalmonirhat,Madaripur,Magura,Manikganj,Maulvibazar,Meherpur,Munshiganj,Mymensingh,Naogaon,Narail,Narayanganj,Narsingdi,Natore,Nawabganj,Netrakona,Nilphamari,Noakhali,Pabna,Panchagarh,Patuakhali,Pirojpur,Rajbari,Rajshahi,Rangamati,Rangpur,Satkhira,Shariatpur,Sherpur,Sirajganj,Sunamganj,Sylhet,Tangail,Thakurgaon
Bagerhat,12516,0,1,64,1,19,1,9,4394,3,3,23,3134,9,17,2697,1,396,62,0,1,441,0,17,1,11,5236,0,0,9,0,1,0,2,0,2,0,4,24,0,6,37,0,2,9,0,2,3,16,0,0,0,1,10,23,1,33,0,0,0,2,52,0,0
Bandarban,1,2128,1,10,2,4,0,4,1849,0,0,56,610,4,1,5,1,86,2,2,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,1,36,1,0,0,0,0,1,15,2,0
Barguna,28,3,3065,1103,0,5,0,4,4162,8,0,104,11432,4,0,32,0,448,1,0,0,24,0,2,0,32,594,1,0,1,0,0,0,0,0,0,0,2,2,1,0,329,5,0,0,0,0,0,0,0,50,0,0,6,31,1,0,0,0,0,6,33,0,4
Barisal,805,62,8,33579,1,18,6,102,19653,11,7,245,62103,25,12,209,7,5477,22,1,6,567,1,19,1,25,7158,0,0,48,0,0,36,0,0,22,0,503,26,1,13,1835,40,2,5,1,1,3,43,0,7,2,1,55,240,10,96,10,1,0,2,191,7,24
Bhola,22,47,1,797,3450,0,7,14,33778,8,30,191,53036,5,11,127,0,1760,0,0,3,190,0,3,0,13,912,0,1,2,0,1,0,0,0,13,0,61,1,0,1,556,0,4,0,0,7,71,1,0,17,0,0,16,33,1,8,0,0,1,2,39,3,1
Bogra,29,0,1,33,4,9446,7,8,3153,11,1,17,7835,126,3,36,48,2083,6,1,11,90,0,0,46,3,278,0,0,18,0,67,2,0,0,18,2,0,25,40,0,146,0,11,20,1,16,5,19,0,0,0,7,66,1,28,0,0,0,2,1,119,1,63
Brahmanbaria,11,2,0,14,0,4,2389,11,11858,0,47,136,8200,18,28,161,1,1389,4,253,2,9,0,0,0,0,28,42,3,0,0,5,0,0,0,1085,0,0,15,0,0,151,61,1,0,0,1,53,1,0,0,0,2,10,48,3,0,0,1,0,130,2526,9,2
Chandpur,8,8,1,21,0,12,49,19350,12069,0,85,54,12573,10,2,133,12,3223,9,5,40,35,0,4,5,17,184,0,0,9,0,5,7,0,0,412,0,2,46,0,18,892,30,1,0,1,5,116,2,1,0,0,11,32,213,10,0,1,0,0,34,1114,2,8
Chittagong,49,655,0,30,75,18,33,38,199341,3,28,937,1647,17,2,113,4,378,2,6,2,47,0,0,0,208,127,2,1,49,0,10,6,1,0,22,3,1,36,0,1,115,32,2,0,0,8,59,14,0,3,0,3,23,1927,32,1,0,0,0,5,106,0,22
Chuadanga,0,0,0,6,0,3,0,2,753,6917,3,13,1052,3,5,17,0,209,1,0,0,80,0,26,0,0,94,0,0,70,0,0,0,6,0,0,92,0,0,1,0,15,0,1,3,0,1,1,11,0,1,0,18,62,9,39,0,0,0,17,1,31,0,0
